,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-145.0,0.313,30.0,35.0,-5.0,3.0,3.0,0.5
Atlanta Falcons,126.0,0.813,31.0,17.0,14.0,7.0,2.0,0.778
Baltimore Ravens,87.0,0.75,27.0,20.0,7.0,8.0,5.0,0.615
Buffalo Bills,-142.0,0.25,22.0,39.0,-17.0,3.0,6.0,0.333
Carolina Panthers,-212.0,0.125,29.0,37.0,-8.0,2.0,2.0,0.5
Chicago Bears,48.0,0.688,35.0,31.0,4.0,7.0,4.0,0.636
Cincinnati Bengals,-73.0,0.25,26.0,34.0,-8.0,2.0,8.0,0.2
Cleveland Browns,-61.0,0.313,28.0,29.0,-1.0,3.0,7.0,0.3
Dallas Cowboys,-42.0,0.375,30.0,30.0,0.0,3.0,8.0,0.273
Denver Broncos,-127.0,0.25,18.0,27.0,-9.0,2.0,6.0,0.25
Detroit Lions,-7.0,0.375,29.0,25.0,4.0,4.0,7.0,0.364
Green Bay Packers,148.0,0.625,32.0,22.0,10.0,7.0,6.0,0.538
Houston Texans,-37.0,0.375,18.0,18.0,0.0,3.0,5.0,0.375
Indianapolis Colts,47.0,0.625,21.0,25.0,-4.0,5.0,5.0,0.5
Jacksonville Jaguars,-66.0,0.5,18.0,33.0,-15.0,5.0,2.0,0.714
Kansas City Chiefs,40.0,0.625,23.0,14.0,9.0,4.0,2.0,0.667
Miami Dolphins,-60.0,0.438,19.0,31.0,-12.0,5.0,5.0,0.5
Minnesota Vikings,-67.0,0.375,26.0,37.0,-11.0,3.0,4.0,0.429
New England Patriots,205.0,0.875,38.0,10.0,28.0,5.0,1.0,0.833
New Orleans Saints,77.0,0.688,25.0,31.0,-6.0,6.0,3.0,0.667
New York Giants,47.0,0.625,39.0,42.0,-3.0,4.0,1.0,0.8
New York Jets,63.0,0.688,30.0,21.0,9.0,8.0,4.0,0.667
Oakland Raiders,39.0,0.5,24.0,26.0,-2.0,3.0,5.0,0.375
Philadelphia Eagles,62.0,0.625,34.0,25.0,9.0,5.0,5.0,0.5
Pittsburgh Steelers,143.0,0.75,35.0,18.0,17.0,8.0,3.0,0.727
San Diego Chargers,119.0,0.563,23.0,29.0,-6.0,3.0,5.0,0.375
San Francisco 49ers,-41.0,0.375,22.0,23.0,-1.0,3.0,5.0,0.375
Seattle Seahawks,-97.0,0.438,22.0,31.0,-9.0,3.0,0.0,0.0
St. Louis Rams,-39.0,0.438,26.0,21.0,5.0,3.0,4.0,0.429
Tampa Bay Buccaneers,23.0,0.625,28.0,19.0,9.0,5.0,4.0,0.556
Tennessee Titans,17.0,0.375,25.0,29.0,-4.0,1.0,6.0,0.143
Washington Redskins,-75.0,0.375,27.0,31.0,-4.0,6.0,6.0,0.5
