,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-227.0,0.25,23.0,36.0,-13.0,4.0,3.0,0.571
Atlanta Falcons,-123.0,0.313,31.0,31.0,0.0,3.0,5.0,0.375
Baltimore Ravens,110.0,0.625,41.0,38.0,3.0,4.0,5.0,0.444
Buffalo Bills,-36.0,0.375,18.0,34.0,-16.0,1.0,4.0,0.2
Carolina Panthers,21.0,0.688,26.0,31.0,-5.0,10.0,4.0,0.714
Chicago Bears,-63.0,0.438,20.0,29.0,-9.0,4.0,4.0,0.5
Cincinnati Bengals,-38.0,0.5,24.0,22.0,2.0,8.0,5.0,0.615
Cleveland Browns,-68.0,0.313,22.0,33.0,-11.0,3.0,7.0,0.3
Dallas Cowboys,29.0,0.625,25.0,29.0,-4.0,5.0,1.0,0.833
Denver Broncos,80.0,0.625,20.0,24.0,-4.0,3.0,3.0,0.5
Detroit Lions,-109.0,0.313,28.0,28.0,0.0,2.0,5.0,0.286
Green Bay Packers,135.0,0.625,32.0,32.0,0.0,3.0,6.0,0.333
Houston Texans,-125.0,0.313,22.0,27.0,-5.0,5.0,5.0,0.5
Indianapolis Colts,111.0,0.75,30.0,20.0,10.0,8.0,3.0,0.727
Jacksonville Jaguars,-55.0,0.313,27.0,31.0,-4.0,4.0,6.0,0.4
Kansas City Chiefs,152.0,0.813,37.0,18.0,19.0,6.0,2.0,0.75
Miami Dolphins,50.0,0.625,36.0,34.0,2.0,3.0,4.0,0.429
Minnesota Vikings,63.0,0.563,35.0,24.0,11.0,2.0,3.0,0.4
New England Patriots,110.0,0.875,41.0,24.0,17.0,10.0,1.0,0.909
New Orleans Saints,14.0,0.5,27.0,28.0,-1.0,5.0,4.0,0.556
New York Giants,-144.0,0.25,22.0,38.0,-16.0,2.0,3.0,0.4
New York Jets,-16.0,0.375,20.0,20.0,0.0,5.0,7.0,0.417
Oakland Raiders,-109.0,0.25,25.0,26.0,-1.0,3.0,7.0,0.3
Philadelphia Eagles,87.0,0.75,26.0,22.0,4.0,7.0,2.0,0.778
Pittsburgh Steelers,-27.0,0.375,25.0,28.0,-3.0,2.0,5.0,0.286
San Diego Chargers,-128.0,0.25,20.0,31.0,-11.0,3.0,4.0,0.429
San Francisco 49ers,47.0,0.438,37.0,25.0,12.0,2.0,6.0,0.25
Seattle Seahawks,77.0,0.625,28.0,29.0,-1.0,5.0,5.0,0.5
St. Louis Rams,119.0,0.75,46.0,39.0,7.0,5.0,2.0,0.714
Tampa Bay Buccaneers,37.0,0.438,33.0,31.0,2.0,2.0,7.0,0.222
Tennessee Titans,111.0,0.75,34.0,21.0,13.0,6.0,4.0,0.6
Washington Redskins,-85.0,0.313,30.0,28.0,2.0,4.0,7.0,0.364
