,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-38.0,0.375,30.0,29.0,1.0,4.0,5.0,0.444
Atlanta Falcons,3.0,0.688,32.0,30.0,2.0,6.0,2.0,0.75
Baltimore Ravens,49.0,0.563,34.0,23.0,11.0,3.0,3.0,0.5
Buffalo Bills,111.0,0.563,39.0,29.0,10.0,2.0,4.0,0.333
Carolina Panthers,16.0,0.438,38.0,26.0,12.0,1.0,5.0,0.167
Chicago Bears,-100.0,0.313,29.0,37.0,-8.0,2.0,4.0,0.333
Cincinnati Bengals,2.0,0.5,36.0,32.0,4.0,4.0,4.0,0.5
Cleveland Browns,-114.0,0.25,28.0,40.0,-12.0,2.0,4.0,0.333
Dallas Cowboys,-112.0,0.375,22.0,37.0,-15.0,4.0,3.0,0.571
Denver Broncos,77.0,0.625,20.0,29.0,-9.0,3.0,3.0,0.5
Detroit Lions,-54.0,0.375,24.0,20.0,4.0,3.0,6.0,0.333
Green Bay Packers,44.0,0.625,15.0,29.0,-14.0,4.0,2.0,0.667
Houston Texans,-30.0,0.438,30.0,25.0,5.0,1.0,4.0,0.2
Indianapolis Colts,171.0,0.75,36.0,17.0,19.0,3.0,2.0,0.6
Jacksonville Jaguars,-19.0,0.563,28.0,22.0,6.0,8.0,3.0,0.727
Kansas City Chiefs,48.0,0.438,21.0,27.0,-6.0,3.0,7.0,0.3
Miami Dolphins,-79.0,0.25,25.0,42.0,-17.0,3.0,7.0,0.3
Minnesota Vikings,10.0,0.5,22.0,21.0,1.0,5.0,5.0,0.5
New England Patriots,177.0,0.875,36.0,27.0,9.0,5.0,1.0,0.833
New Orleans Saints,-57.0,0.5,33.0,26.0,7.0,6.0,3.0,0.667
New York Giants,-44.0,0.375,28.0,24.0,4.0,3.0,5.0,0.375
New York Jets,72.0,0.625,33.0,16.0,17.0,7.0,5.0,0.583
Oakland Raiders,-122.0,0.313,18.0,35.0,-17.0,4.0,6.0,0.4
Philadelphia Eagles,126.0,0.813,28.0,22.0,6.0,4.0,1.0,0.8
Pittsburgh Steelers,121.0,0.938,32.0,21.0,11.0,7.0,0.0,0.0
San Diego Chargers,133.0,0.75,33.0,18.0,15.0,6.0,4.0,0.6
San Francisco 49ers,-193.0,0.125,21.0,40.0,-19.0,2.0,4.0,0.333
Seattle Seahawks,-2.0,0.563,35.0,27.0,8.0,6.0,4.0,0.6
St. Louis Rams,-73.0,0.5,15.0,39.0,-24.0,5.0,1.0,0.833
Tampa Bay Buccaneers,-3.0,0.313,27.0,36.0,-9.0,2.0,8.0,0.2
Tennessee Titans,-95.0,0.313,30.0,31.0,-1.0,3.0,3.0,0.5
Washington Redskins,-25.0,0.375,26.0,27.0,-1.0,4.0,7.0,0.364
