,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,176.0,0.813,33.0,24.0,9.0,6.0,1.0,0.857
Atlanta Falcons,-6.0,0.5,23.0,30.0,-7.0,6.0,5.0,0.545
Baltimore Ravens,-73.0,0.313,14.0,28.0,-14.0,5.0,9.0,0.357
Buffalo Bills,20.0,0.5,25.0,19.0,6.0,3.0,5.0,0.375
Carolina Panthers,192.0,0.938,39.0,19.0,20.0,8.0,1.0,0.889
Chicago Bears,-62.0,0.375,17.0,21.0,-4.0,5.0,7.0,0.417
Cincinnati Bengals,140.0,0.75,28.0,17.0,11.0,5.0,4.0,0.556
Cleveland Browns,-154.0,0.188,21.0,30.0,-9.0,1.0,5.0,0.167
Dallas Cowboys,-99.0,0.25,11.0,33.0,-22.0,2.0,6.0,0.25
Denver Broncos,59.0,0.75,27.0,31.0,-4.0,11.0,3.0,0.786
Detroit Lions,-42.0,0.438,19.0,24.0,-5.0,5.0,4.0,0.556
Green Bay Packers,45.0,0.625,22.0,17.0,5.0,3.0,5.0,0.375
Houston Texans,26.0,0.563,25.0,20.0,5.0,3.0,3.0,0.5
Indianapolis Colts,-75.0,0.5,25.0,30.0,-5.0,7.0,4.0,0.636
Jacksonville Jaguars,-72.0,0.313,18.0,28.0,-10.0,4.0,6.0,0.4
Kansas City Chiefs,118.0,0.688,29.0,15.0,14.0,5.0,4.0,0.556
Miami Dolphins,-79.0,0.375,16.0,19.0,-3.0,3.0,3.0,0.5
Minnesota Vikings,63.0,0.688,22.0,17.0,5.0,4.0,3.0,0.571
New England Patriots,150.0,0.75,21.0,14.0,7.0,7.0,4.0,0.636
New Orleans Saints,-68.0,0.438,22.0,20.0,2.0,5.0,5.0,0.5
New York Giants,-22.0,0.375,28.0,21.0,7.0,3.0,8.0,0.273
New York Jets,73.0,0.625,30.0,24.0,6.0,4.0,5.0,0.444
Oakland Raiders,-40.0,0.438,25.0,24.0,1.0,6.0,5.0,0.545
Philadelphia Eagles,-53.0,0.438,26.0,31.0,-5.0,5.0,3.0,0.625
Pittsburgh Steelers,104.0,0.625,30.0,28.0,2.0,5.0,5.0,0.5
San Diego Chargers,-78.0,0.25,20.0,24.0,-4.0,3.0,9.0,0.25
San Francisco 49ers,-149.0,0.313,12.0,17.0,-5.0,4.0,2.0,0.667
Seattle Seahawks,146.0,0.625,23.0,16.0,7.0,3.0,6.0,0.333
St. Louis Rams,-50.0,0.438,26.0,22.0,4.0,5.0,4.0,0.556
Tampa Bay Buccaneers,-75.0,0.375,23.0,28.0,-5.0,5.0,4.0,0.556
Tennessee Titans,-124.0,0.188,19.0,33.0,-14.0,2.0,6.0,0.25
Washington Redskins,9.0,0.563,27.0,22.0,5.0,4.0,3.0,0.571
