,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-36.0,0.5,19.0,32.0,-13.0,8.0,5.0,0.615
Atlanta Falcons,52.0,0.625,29.0,21.0,8.0,5.0,3.0,0.625
Baltimore Ravens,112.0,0.75,26.0,24.0,2.0,6.0,3.0,0.667
Buffalo Bills,-62.0,0.375,31.0,30.0,1.0,3.0,5.0,0.375
Carolina Panthers,-23.0,0.375,24.0,23.0,1.0,2.0,6.0,0.25
Chicago Bears,12.0,0.5,31.0,29.0,2.0,4.0,3.0,0.571
Cincinnati Bengals,21.0,0.563,22.0,22.0,0.0,5.0,6.0,0.455
Cleveland Browns,-89.0,0.25,20.0,19.0,1.0,4.0,6.0,0.4
Dallas Cowboys,22.0,0.5,25.0,21.0,4.0,4.0,5.0,0.444
Denver Broncos,-81.0,0.5,18.0,30.0,-12.0,8.0,4.0,0.667
Detroit Lions,87.0,0.625,34.0,23.0,11.0,5.0,3.0,0.625
Green Bay Packers,201.0,0.938,38.0,14.0,24.0,6.0,1.0,0.857
Houston Texans,103.0,0.625,27.0,20.0,7.0,4.0,5.0,0.444
Indianapolis Colts,-187.0,0.125,17.0,29.0,-12.0,1.0,7.0,0.125
Jacksonville Jaguars,-86.0,0.313,28.0,23.0,5.0,3.0,5.0,0.375
Kansas City Chiefs,-126.0,0.438,26.0,28.0,-2.0,6.0,4.0,0.6
Miami Dolphins,16.0,0.375,19.0,25.0,-6.0,2.0,5.0,0.286
Minnesota Vikings,-109.0,0.188,23.0,26.0,-3.0,2.0,9.0,0.182
New England Patriots,171.0,0.813,34.0,17.0,17.0,5.0,4.0,0.556
New Orleans Saints,208.0,0.813,16.0,19.0,-3.0,4.0,3.0,0.571
New York Giants,-6.0,0.563,31.0,24.0,7.0,7.0,3.0,0.7
New York Jets,14.0,0.5,31.0,34.0,-3.0,3.0,2.0,0.6
Oakland Raiders,-74.0,0.5,26.0,30.0,-4.0,7.0,2.0,0.778
Philadelphia Eagles,68.0,0.5,24.0,38.0,-14.0,2.0,5.0,0.286
Pittsburgh Steelers,98.0,0.75,15.0,28.0,-13.0,6.0,3.0,0.667
San Diego Chargers,29.0,0.5,21.0,28.0,-7.0,3.0,5.0,0.375
San Francisco 49ers,151.0,0.813,38.0,10.0,28.0,8.0,3.0,0.727
Seattle Seahawks,6.0,0.438,31.0,23.0,8.0,2.0,5.0,0.286
St. Louis Rams,-214.0,0.125,18.0,23.0,-5.0,1.0,5.0,0.167
Tampa Bay Buccaneers,-207.0,0.25,24.0,40.0,-16.0,4.0,3.0,0.571
Tennessee Titans,8.0,0.563,23.0,22.0,1.0,5.0,4.0,0.556
Washington Redskins,-79.0,0.313,21.0,35.0,-14.0,3.0,6.0,0.333
