,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,5.0,0.5,29.0,36.0,-7.0,6.0,6.0,0.5
Atlanta Falcons,-155.0,0.25,28.0,24.0,4.0,3.0,5.0,0.375
Baltimore Ravens,-109.0,0.313,23.0,40.0,-17.0,4.0,5.0,0.444
Buffalo Bills,-102.0,0.438,30.0,21.0,9.0,4.0,4.0,0.5
Carolina Panthers,-80.0,0.438,30.0,29.0,1.0,4.0,2.0,0.667
Chicago Bears,-14.0,0.438,33.0,34.0,-1.0,4.0,5.0,0.444
Cincinnati Bengals,-5.0,0.438,35.0,30.0,5.0,3.0,5.0,0.375
Cleveland Browns,20.0,0.625,27.0,29.0,-2.0,6.0,4.0,0.6
Dallas Cowboys,130.0,0.813,29.0,24.0,5.0,4.0,2.0,0.667
Denver Broncos,-89.0,0.438,30.0,29.0,1.0,4.0,2.0,0.667
Detroit Lions,-98.0,0.438,35.0,36.0,-1.0,3.0,2.0,0.6
Green Bay Packers,144.0,0.813,28.0,24.0,4.0,5.0,2.0,0.714
Houston Texans,-5.0,0.5,25.0,38.0,-13.0,2.0,3.0,0.4
Indianapolis Colts,188.0,0.813,37.0,19.0,18.0,5.0,4.0,0.556
Jacksonville Jaguars,107.0,0.688,30.0,21.0,9.0,5.0,2.0,0.714
Kansas City Chiefs,-109.0,0.25,22.0,33.0,-11.0,3.0,4.0,0.429
Miami Dolphins,-170.0,0.063,22.0,29.0,-7.0,1.0,6.0,0.143
Minnesota Vikings,54.0,0.5,31.0,30.0,1.0,3.0,5.0,0.375
New England Patriots,315.0,1.0,31.0,15.0,16.0,4.0,1.0,0.8
New Orleans Saints,-9.0,0.438,23.0,30.0,-7.0,2.0,4.0,0.333
New York Giants,22.0,0.625,25.0,34.0,-9.0,8.0,1.0,0.889
New York Jets,-87.0,0.25,21.0,25.0,-4.0,3.0,7.0,0.3
Oakland Raiders,-115.0,0.25,26.0,37.0,-11.0,2.0,6.0,0.25
Philadelphia Eagles,36.0,0.5,19.0,27.0,-8.0,5.0,6.0,0.455
Pittsburgh Steelers,124.0,0.625,25.0,22.0,3.0,2.0,6.0,0.25
San Diego Chargers,128.0,0.688,48.0,24.0,24.0,3.0,2.0,0.6
San Francisco 49ers,-145.0,0.313,22.0,34.0,-12.0,5.0,3.0,0.625
Seattle Seahawks,102.0,0.625,34.0,24.0,10.0,4.0,4.0,0.5
St. Louis Rams,-175.0,0.188,27.0,37.0,-10.0,2.0,4.0,0.333
Tampa Bay Buccaneers,64.0,0.563,35.0,20.0,15.0,4.0,4.0,0.5
Tennessee Titans,4.0,0.625,34.0,34.0,0.0,7.0,3.0,0.7
Washington Redskins,24.0,0.563,24.0,29.0,-5.0,5.0,6.0,0.455
