,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,56.0,0.469,28.0,28.0,0.0,3.0,6.0,0.333
Atlanta Falcons,134.0,0.688,22.0,11.0,11.0,4.0,5.0,0.444
Baltimore Ravens,22.0,0.5,28.0,23.0,5.0,6.0,6.0,0.5
Buffalo Bills,21.0,0.438,18.0,12.0,6.0,2.0,6.0,0.25
Carolina Panthers,-33.0,0.375,27.0,29.0,-2.0,2.0,6.0,0.25
Chicago Bears,-120.0,0.188,11.0,31.0,-20.0,1.0,6.0,0.143
Cincinnati Bengals,10.0,0.406,20.0,17.0,3.0,1.0,7.0,0.125
Cleveland Browns,-188.0,0.063,13.0,25.0,-12.0,1.0,5.0,0.167
Dallas Cowboys,115.0,0.813,20.0,15.0,5.0,7.0,3.0,0.7
Denver Broncos,36.0,0.563,27.0,25.0,2.0,3.0,4.0,0.429
Detroit Lions,-12.0,0.563,14.0,15.0,-1.0,8.0,5.0,0.615
Green Bay Packers,44.0,0.625,25.0,17.0,8.0,7.0,3.0,0.7
Houston Texans,-49.0,0.563,17.0,24.0,-7.0,8.0,4.0,0.667
Indianapolis Colts,19.0,0.5,17.0,22.0,-5.0,6.0,5.0,0.545
Jacksonville Jaguars,-82.0,0.188,13.0,29.0,-16.0,2.0,8.0,0.2
Kansas City Chiefs,78.0,0.75,33.0,17.0,16.0,7.0,4.0,0.636
Los Angeles Rams,-170.0,0.25,18.0,29.0,-11.0,4.0,5.0,0.444
Miami Dolphins,-17.0,0.625,25.0,23.0,2.0,8.0,2.0,0.8
Minnesota Vikings,20.0,0.5,27.0,16.0,11.0,2.0,4.0,0.333
New England Patriots,191.0,0.875,23.0,11.0,12.0,5.0,1.0,0.833
New Orleans Saints,15.0,0.438,21.0,24.0,-3.0,5.0,7.0,0.417
New York Giants,26.0,0.688,25.0,27.0,-2.0,8.0,3.0,0.727
New York Jets,-134.0,0.313,14.0,34.0,-20.0,4.0,4.0,0.5
Oakland Raiders,31.0,0.75,30.0,14.0,16.0,9.0,2.0,0.818
Philadelphia Eagles,36.0,0.438,26.0,20.0,6.0,1.0,6.0,0.143
Pittsburgh Steelers,72.0,0.688,23.0,18.0,5.0,6.0,2.0,0.75
San Diego Chargers,-13.0,0.313,28.0,35.0,-7.0,4.0,9.0,0.308
San Francisco 49ers,-171.0,0.125,20.0,25.0,-5.0,1.0,5.0,0.167
Seattle Seahawks,62.0,0.656,19.0,18.0,1.0,6.0,3.0,0.667
Tampa Bay Buccaneers,-15.0,0.563,29.0,27.0,2.0,6.0,4.0,0.6
Tennessee Titans,3.0,0.563,18.0,18.0,0.0,6.0,5.0,0.545
Washington Redskins,13.0,0.531,21.0,21.0,0.0,6.0,4.0,0.6
