,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-76.0,0.313,26.0,37.0,-11.0,2.0,6.0,0.25
Atlanta Falcons,10.0,0.5,29.0,29.0,0.0,4.0,5.0,0.444
Baltimore Ravens,-34.0,0.375,26.0,36.0,-10.0,3.0,4.0,0.429
Buffalo Bills,-96.0,0.313,30.0,26.0,4.0,1.0,5.0,0.167
Carolina Panthers,132.0,0.688,42.0,26.0,16.0,5.0,3.0,0.625
Chicago Bears,58.0,0.688,34.0,28.0,6.0,6.0,2.0,0.75
Cincinnati Bengals,71.0,0.688,44.0,20.0,24.0,5.0,2.0,0.714
Cleveland Browns,-69.0,0.375,23.0,30.0,-7.0,4.0,5.0,0.444
Dallas Cowboys,17.0,0.563,26.0,31.0,-5.0,6.0,5.0,0.545
Denver Broncos,137.0,0.813,36.0,16.0,20.0,5.0,2.0,0.714
Detroit Lions,-91.0,0.313,31.0,30.0,1.0,3.0,5.0,0.375
Green Bay Packers,-46.0,0.25,21.0,45.0,-24.0,3.0,8.0,0.273
Houston Texans,-171.0,0.125,16.0,24.0,-8.0,1.0,6.0,0.143
Indianapolis Colts,192.0,0.875,31.0,19.0,12.0,5.0,1.0,0.833
Jacksonville Jaguars,92.0,0.75,28.0,17.0,11.0,8.0,3.0,0.727
Kansas City Chiefs,78.0,0.625,31.0,23.0,8.0,4.0,3.0,0.571
Miami Dolphins,1.0,0.563,31.0,30.0,1.0,5.0,3.0,0.625
Minnesota Vikings,-38.0,0.563,35.0,30.0,5.0,4.0,1.0,0.8
New England Patriots,41.0,0.625,18.0,24.0,-6.0,5.0,2.0,0.714
New Orleans Saints,-163.0,0.188,19.0,43.0,-24.0,2.0,5.0,0.286
New York Giants,108.0,0.688,37.0,25.0,12.0,3.0,3.0,0.5
New York Jets,-115.0,0.25,28.0,34.0,-6.0,2.0,4.0,0.333
Oakland Raiders,-93.0,0.25,19.0,23.0,-4.0,2.0,4.0,0.333
Philadelphia Eagles,-78.0,0.375,27.0,34.0,-7.0,5.0,5.0,0.5
Pittsburgh Steelers,131.0,0.688,30.0,23.0,7.0,3.0,4.0,0.429
San Diego Chargers,106.0,0.563,20.0,28.0,-8.0,3.0,5.0,0.375
San Francisco 49ers,-189.0,0.25,26.0,35.0,-9.0,4.0,5.0,0.444
Seattle Seahawks,181.0,0.813,27.0,17.0,10.0,6.0,2.0,0.75
St. Louis Rams,-66.0,0.375,27.0,37.0,-10.0,4.0,4.0,0.5
Tampa Bay Buccaneers,26.0,0.688,30.0,23.0,7.0,6.0,4.0,0.6
Tennessee Titans,-122.0,0.25,20.0,26.0,-6.0,1.0,5.0,0.167
Washington Redskins,66.0,0.625,28.0,27.0,1.0,6.0,5.0,0.545
