,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-200.0,0.188,16.0,28.0,-12.0,2.0,4.0,0.333
Atlanta Falcons,-9.0,0.438,19.0,18.0,1.0,4.0,4.0,0.5
Baltimore Ravens,102.0,0.625,17.0,20.0,-3.0,3.0,5.0,0.375
Buffalo Bills,-105.0,0.375,27.0,32.0,-5.0,3.0,3.0,0.5
Carolina Panthers,-6.0,0.438,23.0,22.0,1.0,3.0,7.0,0.3
Chicago Bears,138.0,0.75,36.0,24.0,12.0,6.0,5.0,0.545
Cincinnati Bengals,-87.0,0.375,18.0,17.0,1.0,2.0,5.0,0.286
Cleveland Browns,-33.0,0.469,31.0,24.0,7.0,5.0,5.0,0.5
Dallas Cowboys,15.0,0.625,20.0,17.0,3.0,10.0,4.0,0.714
Denver Broncos,-20.0,0.375,28.0,21.0,7.0,4.0,6.0,0.4
Detroit Lions,-36.0,0.375,14.0,19.0,-5.0,2.0,4.0,0.333
Green Bay Packers,-24.0,0.406,15.0,15.0,0.0,3.0,7.0,0.3
Houston Texans,86.0,0.688,29.0,16.0,13.0,6.0,5.0,0.545
Indianapolis Colts,89.0,0.625,26.0,24.0,2.0,4.0,4.0,0.5
Jacksonville Jaguars,-71.0,0.313,17.0,29.0,-12.0,2.0,6.0,0.25
Kansas City Chiefs,144.0,0.75,27.0,18.0,9.0,5.0,5.0,0.5
Los Angeles Chargers,99.0,0.75,20.0,19.0,1.0,7.0,1.0,0.875
Los Angeles Rams,143.0,0.813,30.0,19.0,11.0,8.0,1.0,0.889
Miami Dolphins,-114.0,0.438,28.0,23.0,5.0,7.0,1.0,0.875
Minnesota Vikings,19.0,0.531,20.0,20.0,0.0,4.0,2.0,0.667
New England Patriots,111.0,0.688,28.0,18.0,10.0,4.0,2.0,0.667
New Orleans Saints,151.0,0.813,24.0,16.0,8.0,6.0,3.0,0.667
New York Giants,-43.0,0.313,21.0,19.0,2.0,4.0,8.0,0.333
New York Jets,-108.0,0.25,20.0,30.0,-10.0,2.0,6.0,0.25
Oakland Raiders,-177.0,0.25,17.0,24.0,-7.0,3.0,3.0,0.5
Philadelphia Eagles,19.0,0.563,17.0,23.0,-6.0,7.0,7.0,0.5
Pittsburgh Steelers,68.0,0.594,15.0,26.0,-11.0,7.0,5.0,0.583
San Francisco 49ers,-93.0,0.25,7.0,32.0,-25.0,3.0,6.0,0.333
Seattle Seahawks,81.0,0.625,26.0,11.0,15.0,5.0,7.0,0.417
Tampa Bay Buccaneers,-68.0,0.313,17.0,35.0,-18.0,4.0,7.0,0.364
Tennessee Titans,7.0,0.563,17.0,18.0,-1.0,4.0,3.0,0.571
Washington Redskins,-78.0,0.438,26.0,19.0,7.0,4.0,2.0,0.667
