,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-81.0,0.344,17.0,18.0,-1.0,3.0,6.0,0.333
Atlanta Falcons,-18.0,0.438,20.0,25.0,-5.0,3.0,4.0,0.429
Baltimore Ravens,249.0,0.875,25.0,15.0,10.0,5.0,1.0,0.833
Buffalo Bills,55.0,0.625,23.0,19.0,4.0,4.0,6.0,0.4
Carolina Panthers,-130.0,0.313,21.0,35.0,-14.0,2.0,6.0,0.25
Chicago Bears,-18.0,0.5,19.0,19.0,0.0,6.0,5.0,0.545
Cincinnati Bengals,-141.0,0.125,16.0,30.0,-14.0,0.0,8.0,0.0
Cleveland Browns,-58.0,0.375,20.0,28.0,-8.0,2.0,4.0,0.333
Dallas Cowboys,113.0,0.5,17.0,18.0,-1.0,1.0,6.0,0.143
Denver Broncos,-34.0,0.438,17.0,16.0,1.0,4.0,5.0,0.444
Detroit Lions,-82.0,0.219,18.0,23.0,-5.0,4.0,8.0,0.333
Green Bay Packers,63.0,0.813,25.0,13.0,12.0,9.0,1.0,0.9
Houston Texans,-7.0,0.625,22.0,22.0,0.0,9.0,3.0,0.75
Indianapolis Colts,-12.0,0.438,23.0,21.0,2.0,5.0,6.0,0.455
Jacksonville Jaguars,-97.0,0.375,19.0,20.0,-1.0,2.0,3.0,0.4
Kansas City Chiefs,143.0,0.75,23.0,15.0,8.0,5.0,4.0,0.556
Los Angeles Chargers,-8.0,0.313,14.0,31.0,-17.0,2.0,9.0,0.182
Los Angeles Rams,30.0,0.563,24.0,24.0,0.0,3.0,3.0,0.5
Miami Dolphins,-188.0,0.313,16.0,26.0,-10.0,5.0,2.0,0.714
Minnesota Vikings,104.0,0.625,31.0,20.0,11.0,3.0,4.0,0.429
New England Patriots,195.0,0.75,36.0,15.0,21.0,4.0,4.0,0.5
New Orleans Saints,117.0,0.813,23.0,8.0,15.0,7.0,2.0,0.778
New York Giants,-110.0,0.25,16.0,33.0,-17.0,2.0,5.0,0.286
New York Jets,-83.0,0.438,21.0,25.0,-4.0,5.0,2.0,0.714
Oakland Raiders,-106.0,0.438,15.0,17.0,-2.0,7.0,3.0,0.7
Philadelphia Eagles,31.0,0.563,20.0,23.0,-3.0,5.0,6.0,0.455
Pittsburgh Steelers,-14.0,0.5,38.0,30.0,8.0,6.0,5.0,0.545
San Francisco 49ers,169.0,0.813,27.0,23.0,4.0,5.0,3.0,0.625
Seattle Seahawks,7.0,0.688,32.0,20.0,12.0,11.0,3.0,0.786
Tampa Bay Buccaneers,9.0,0.438,28.0,41.0,-13.0,3.0,6.0,0.333
Tennessee Titans,71.0,0.563,23.0,17.0,6.0,4.0,3.0,0.571
Washington Redskins,-169.0,0.188,22.0,21.0,1.0,3.0,3.0,0.5
