,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,11.0,0.688,25.0,17.0,8.0,5.0,1.0,0.833
Atlanta Falcons,-36.0,0.375,28.0,23.0,5.0,2.0,4.0,0.333
Baltimore Ravens,107.0,0.625,22.0,20.0,2.0,3.0,5.0,0.375
Buffalo Bills,54.0,0.563,30.0,23.0,7.0,5.0,4.0,0.556
Carolina Panthers,-35.0,0.469,26.0,23.0,3.0,4.0,3.0,0.571
Chicago Bears,-123.0,0.313,24.0,29.0,-5.0,4.0,4.0,0.5
Cincinnati Bengals,21.0,0.656,26.0,26.0,0.0,4.0,0.0,0.0
Cleveland Browns,-38.0,0.438,29.0,23.0,6.0,4.0,4.0,0.5
Dallas Cowboys,115.0,0.75,31.0,25.0,6.0,5.0,2.0,0.714
Denver Broncos,128.0,0.75,25.0,20.0,5.0,4.0,1.0,0.8
Detroit Lions,39.0,0.688,27.0,20.0,7.0,6.0,3.0,0.667
Green Bay Packers,138.0,0.75,27.0,13.0,14.0,6.0,2.0,0.75
Houston Texans,65.0,0.563,34.0,22.0,12.0,2.0,4.0,0.333
Indianapolis Colts,89.0,0.688,26.0,31.0,-5.0,4.0,2.0,0.667
Jacksonville Jaguars,-163.0,0.188,20.0,26.0,-6.0,2.0,4.0,0.333
Kansas City Chiefs,72.0,0.563,14.0,17.0,-3.0,3.0,5.0,0.375
Miami Dolphins,15.0,0.5,25.0,23.0,2.0,2.0,3.0,0.4
Minnesota Vikings,-18.0,0.438,19.0,20.0,-1.0,4.0,5.0,0.444
New England Patriots,155.0,0.75,25.0,13.0,12.0,5.0,2.0,0.714
New Orleans Saints,-23.0,0.438,17.0,30.0,-13.0,3.0,5.0,0.375
New York Giants,-20.0,0.375,26.0,28.0,-2.0,0.0,4.0,0.0
New York Jets,-118.0,0.25,13.0,24.0,-11.0,3.0,7.0,0.3
Oakland Raiders,-199.0,0.188,14.0,29.0,-15.0,2.0,5.0,0.286
Philadelphia Eagles,74.0,0.625,28.0,36.0,-8.0,4.0,3.0,0.571
Pittsburgh Steelers,68.0,0.688,21.0,21.0,0.0,6.0,3.0,0.667
San Diego Chargers,0.0,0.563,18.0,23.0,-5.0,5.0,2.0,0.714
San Francisco 49ers,-34.0,0.5,29.0,22.0,7.0,6.0,3.0,0.667
Seattle Seahawks,140.0,0.75,24.0,14.0,10.0,4.0,4.0,0.5
St. Louis Rams,-30.0,0.375,25.0,27.0,-2.0,3.0,4.0,0.429
Tampa Bay Buccaneers,-133.0,0.125,25.0,33.0,-8.0,1.0,9.0,0.1
Tennessee Titans,-184.0,0.125,16.0,26.0,-10.0,1.0,5.0,0.167
Washington Redskins,-137.0,0.25,19.0,31.0,-12.0,3.0,3.0,0.5
