,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,1.0,0.563,30.0,30.0,0.0,5.0,4.0,0.556
Atlanta Falcons,66.0,0.688,18.0,21.0,-3.0,6.0,3.0,0.667
Baltimore Ravens,141.0,0.688,34.0,21.0,13.0,2.0,3.0,0.4
Buffalo Bills,-6.0,0.438,22.0,30.0,-8.0,3.0,3.0,0.5
Carolina Panthers,85.0,0.75,25.0,19.0,6.0,5.0,1.0,0.833
Chicago Bears,25.0,0.563,32.0,27.0,5.0,5.0,5.0,0.5
Cincinnati Bengals,-160.0,0.281,24.0,26.0,-2.0,2.0,4.0,0.333
Cleveland Browns,-118.0,0.25,31.0,26.0,5.0,3.0,4.0,0.429
Dallas Cowboys,-3.0,0.563,22.0,33.0,-11.0,3.0,3.0,0.5
Denver Broncos,-78.0,0.5,13.0,30.0,-17.0,6.0,2.0,0.75
Detroit Lions,-249.0,0.0,20.0,29.0,-9.0,0.0,5.0,0.0
Green Bay Packers,39.0,0.375,28.0,21.0,7.0,1.0,7.0,0.125
Houston Texans,-28.0,0.5,22.0,32.0,-10.0,5.0,4.0,0.556
Indianapolis Colts,79.0,0.75,26.0,17.0,9.0,8.0,2.0,0.8
Jacksonville Jaguars,-65.0,0.313,17.0,24.0,-7.0,4.0,6.0,0.4
Kansas City Chiefs,-149.0,0.125,29.0,24.0,5.0,1.0,7.0,0.125
Miami Dolphins,28.0,0.688,30.0,13.0,17.0,7.0,2.0,0.778
Minnesota Vikings,46.0,0.625,25.0,31.0,-6.0,6.0,5.0,0.545
New England Patriots,101.0,0.688,22.0,21.0,1.0,3.0,2.0,0.6
New Orleans Saints,70.0,0.5,22.0,26.0,-4.0,3.0,6.0,0.333
New York Giants,133.0,0.75,22.0,13.0,9.0,5.0,2.0,0.714
New York Jets,49.0,0.563,30.0,31.0,-1.0,4.0,2.0,0.667
Oakland Raiders,-125.0,0.313,24.0,23.0,1.0,2.0,3.0,0.4
Philadelphia Eagles,127.0,0.594,29.0,26.0,3.0,2.0,6.0,0.25
Pittsburgh Steelers,124.0,0.75,29.0,25.0,4.0,7.0,2.0,0.778
San Diego Chargers,92.0,0.5,24.0,20.0,4.0,3.0,7.0,0.3
San Francisco 49ers,-42.0,0.438,18.0,35.0,-17.0,4.0,2.0,0.667
Seattle Seahawks,-98.0,0.25,20.0,27.0,-7.0,1.0,5.0,0.167
St. Louis Rams,-233.0,0.125,26.0,31.0,-5.0,1.0,5.0,0.167
Tampa Bay Buccaneers,38.0,0.563,30.0,26.0,4.0,4.0,5.0,0.444
Tennessee Titans,141.0,0.813,31.0,17.0,14.0,4.0,2.0,0.667
Washington Redskins,-31.0,0.5,18.0,18.0,0.0,8.0,4.0,0.667
