,Pt Diff,W-L%,TO For,TO Against,TD,Wc,Lc,W-L% one score
Arizona Cardinals,-66.0,0.5,21.0,25.0,-4.0,6.0,2.0,0.75
Atlanta Falcons,38.0,0.625,16.0,18.0,-2.0,6.0,5.0,0.545
Baltimore Ravens,92.0,0.563,34.0,17.0,17.0,2.0,5.0,0.286
Buffalo Bills,-57.0,0.563,25.0,16.0,9.0,6.0,3.0,0.667
Carolina Panthers,36.0,0.688,21.0,22.0,-1.0,8.0,2.0,0.8
Chicago Bears,-56.0,0.313,22.0,22.0,0.0,2.0,6.0,0.25
Cincinnati Bengals,-59.0,0.438,14.0,23.0,-9.0,4.0,4.0,0.5
Cleveland Browns,-176.0,0.0,13.0,41.0,-28.0,0.0,6.0,0.0
Dallas Cowboys,22.0,0.563,21.0,22.0,-1.0,2.0,2.0,0.5
Denver Broncos,-93.0,0.313,17.0,34.0,-17.0,2.0,3.0,0.4
Detroit Lions,34.0,0.563,32.0,22.0,10.0,3.0,4.0,0.429
Green Bay Packers,-64.0,0.438,22.0,25.0,-3.0,6.0,2.0,0.75
Houston Texans,-98.0,0.25,16.0,28.0,-12.0,1.0,5.0,0.167
Indianapolis Colts,-141.0,0.25,20.0,15.0,5.0,3.0,6.0,0.333
Jacksonville Jaguars,149.0,0.625,33.0,23.0,10.0,4.0,4.0,0.5
Kansas City Chiefs,76.0,0.625,26.0,11.0,15.0,3.0,6.0,0.333
Los Angeles Chargers,83.0,0.563,27.0,15.0,12.0,3.0,5.0,0.375
Los Angeles Rams,149.0,0.688,28.0,21.0,7.0,4.0,3.0,0.571
Miami Dolphins,-112.0,0.375,15.0,29.0,-14.0,5.0,3.0,0.625
Minnesota Vikings,130.0,0.813,19.0,14.0,5.0,6.0,2.0,0.75
New England Patriots,162.0,0.813,18.0,12.0,6.0,6.0,3.0,0.667
New Orleans Saints,122.0,0.688,25.0,18.0,7.0,3.0,4.0,0.429
New York Giants,-142.0,0.188,19.0,22.0,-3.0,2.0,5.0,0.286
New York Jets,-84.0,0.313,20.0,24.0,-4.0,3.0,6.0,0.333
Oakland Raiders,-72.0,0.375,14.0,28.0,-14.0,4.0,3.0,0.571
Philadelphia Eagles,162.0,0.813,31.0,20.0,11.0,7.0,2.0,0.778
Pittsburgh Steelers,98.0,0.813,22.0,20.0,2.0,8.0,3.0,0.727
San Francisco 49ers,-52.0,0.375,20.0,23.0,-3.0,2.0,5.0,0.286
Seattle Seahawks,34.0,0.563,25.0,17.0,8.0,4.0,6.0,0.4
Tampa Bay Buccaneers,-47.0,0.313,26.0,27.0,-1.0,3.0,7.0,0.3
Tennessee Titans,-22.0,0.563,21.0,25.0,-4.0,7.0,4.0,0.636
Washington Redskins,-46.0,0.438,23.0,27.0,-4.0,4.0,3.0,0.571
