Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
New England Patriots,1.0,New England Patriots,16.0,250.0,5223.0,998.0,5.2,23.0,10.0,294.0,368.0,596.0,3806.0,21.0,13.0,6.0,190.0,368.0,1417.0,6.0,3.9,81.0,113.0,930.0,23.0,26.8,11.2,108.15
New York Giants,2.0,New York Giants,16.0,284.0,5435.0,1062.0,5.1,25.0,8.0,298.0,369.0,630.0,4018.0,15.0,17.0,6.0,191.0,397.0,1417.0,10.0,3.6,82.0,104.0,853.0,25.0,29.9,12.2,98.26
Seattle Seahawks,3.0,Seattle Seahawks,16.0,292.0,5099.0,1020.0,5.0,19.0,8.0,307.0,331.0,537.0,3612.0,16.0,11.0,6.2,180.0,441.0,1487.0,16.0,3.4,94.0,103.0,925.0,33.0,28.3,10.3,69.7
Denver Broncos,4.0,Denver Broncos,16.0,297.0,5057.0,1076.0,4.7,27.0,13.0,306.0,306.0,552.0,2972.0,13.0,14.0,5.0,169.0,482.0,2085.0,15.0,4.3,101.0,110.0,990.0,36.0,29.4,12.2,144.49
Dallas Cowboys,5.0,Dallas Cowboys,16.0,306.0,5503.0,1009.0,5.5,20.0,11.0,330.0,425.0,633.0,4167.0,25.0,9.0,6.2,226.0,340.0,1336.0,9.0,3.9,79.0,90.0,784.0,25.0,35.1,11.3,-27.42
Minnesota Vikings,6.0,Minnesota Vikings,16.0,307.0,5038.0,993.0,5.1,27.0,13.0,304.0,332.0,548.0,3327.0,22.0,14.0,5.6,186.0,404.0,1711.0,9.0,4.2,87.0,99.0,825.0,31.0,33.3,14.1,97.72
Kansas City Chiefs,7.0,Kansas City Chiefs,16.0,311.0,5896.0,1063.0,5.5,33.0,15.0,342.0,350.0,598.0,3958.0,23.0,18.0,6.3,209.0,437.0,1938.0,10.0,4.4,102.0,109.0,797.0,31.0,31.9,16.5,59.03
Cincinnati Bengals,8.0,Cincinnati Bengals,16.0,315.0,5612.0,1038.0,5.4,20.0,3.0,327.0,374.0,593.0,3800.0,22.0,17.0,6.1,196.0,412.0,1812.0,12.0,4.4,95.0,105.0,950.0,36.0,34.7,11.4,-0.36
Baltimore Ravens,9.0,Baltimore Ravens,16.0,321.0,5154.0,993.0,5.2,28.0,10.0,294.0,369.0,578.0,3724.0,28.0,18.0,6.1,190.0,384.0,1430.0,10.0,3.7,74.0,94.0,900.0,30.0,28.1,14.1,50.21
Pittsburgh Steelers,10.0,Pittsburgh Steelers,16.0,327.0,5482.0,997.0,5.5,23.0,10.0,313.0,381.0,590.0,3882.0,20.0,13.0,6.2,184.0,369.0,1600.0,15.0,4.3,95.0,109.0,920.0,34.0,34.5,11.9,13.12
