Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,11.0,Houston Texans,16.0,328.0,4821.0,950.0,5.1,17.0,6.0,272.0,319.0,522.0,3226.0,20.0,11.0,5.8,157.0,397.0,1595.0,13.0,4.0,87.0,114.0,949.0,28.0,31.7,9.1,88.96
Philadelphia Eagles,12.0,Philadelphia Eagles,16.0,331.0,5484.0,978.0,5.6,26.0,10.0,300.0,333.0,553.0,3832.0,25.0,16.0,6.5,177.0,391.0,1652.0,10.0,4.2,89.0,99.0,837.0,34.0,33.9,13.4,25.9
Detroit Lions,13.0,Detroit Lions,16.0,358.0,5676.0,964.0,5.9,14.0,4.0,333.0,399.0,549.0,3975.0,33.0,10.0,6.9,206.0,389.0,1701.0,8.0,4.4,99.0,122.0,979.0,28.0,39.4,8.8,-88.0
Arizona Cardinals,14.0,Arizona Cardinals,16.0,362.0,4883.0,1019.0,4.8,28.0,14.0,293.0,344.0,547.0,3365.0,21.0,14.0,5.7,175.0,424.0,1518.0,16.0,3.6,90.0,123.0,1010.0,28.0,32.5,12.9,81.68
Tampa Bay Buccaneers,15.0,Tampa Bay Buccaneers,16.0,369.0,5887.0,1013.0,5.8,29.0,12.0,326.0,347.0,548.0,4012.0,24.0,17.0,6.8,203.0,427.0,1875.0,15.0,4.4,102.0,121.0,1061.0,21.0,35.9,14.7,39.69
Tennessee Titans,16.0,Tennessee Titans,16.0,378.0,5720.0,1031.0,5.5,18.0,6.0,324.0,388.0,635.0,4307.0,25.0,12.0,6.4,227.0,356.0,1413.0,10.0,4.0,70.0,137.0,1191.0,27.0,35.0,9.0,8.52
Buffalo Bills,17.0,Buffalo Bills,16.0,378.0,5712.0,1019.0,5.6,18.0,6.0,338.0,306.0,511.0,3582.0,19.0,12.0,6.5,183.0,469.0,2130.0,21.0,4.5,122.0,106.0,884.0,33.0,38.8,9.3,46.56
Miami Dolphins,18.0,Miami Dolphins,16.0,380.0,6122.0,1088.0,5.6,25.0,9.0,349.0,368.0,591.0,3875.0,30.0,16.0,6.2,199.0,464.0,2247.0,12.0,4.8,109.0,109.0,919.0,41.0,35.1,12.9,-16.46
Washington Redskins,19.0,Washington Redskins,16.0,383.0,6046.0,1050.0,5.8,21.0,8.0,368.0,387.0,589.0,4130.0,22.0,13.0,6.6,225.0,423.0,1916.0,19.0,4.5,109.0,100.0,1023.0,34.0,38.5,11.8,-32.66
Oakland Raiders,20.0,Oakland Raiders,16.0,385.0,6001.0,987.0,6.1,30.0,14.0,318.0,328.0,541.0,4120.0,27.0,16.0,7.3,188.0,421.0,1881.0,18.0,4.5,94.0,115.0,1062.0,36.0,35.3,14.2,-28.15
Green Bay Packers,21.0,Green Bay Packers,16.0,388.0,5823.0,987.0,5.9,25.0,8.0,329.0,370.0,571.0,4308.0,32.0,17.0,7.1,227.0,376.0,1515.0,11.0,4.0,80.0,109.0,964.0,22.0,41.0,13.9,-29.27
Indianapolis Colts,22.0,Indianapolis Colts,16.0,392.0,6126.0,1024.0,6.0,17.0,9.0,353.0,378.0,582.0,4200.0,27.0,8.0,6.8,225.0,409.0,1926.0,12.0,4.7,93.0,125.0,1155.0,35.0,41.5,9.7,-46.92
Los Angeles Rams,23.0,Los Angeles Rams,16.0,394.0,5392.0,1037.0,5.2,18.0,8.0,325.0,378.0,582.0,3732.0,32.0,10.0,6.1,194.0,424.0,1660.0,12.0,3.9,91.0,108.0,920.0,40.0,31.3,9.4,-2.88
Chicago Bears,24.0,Chicago Bears,16.0,399.0,5548.0,1012.0,5.5,11.0,3.0,322.0,342.0,530.0,3598.0,22.0,8.0,6.3,188.0,445.0,1950.0,18.0,4.4,99.0,103.0,959.0,35.0,42.0,6.3,-68.19
Jacksonville Jaguars,25.0,Jacksonville Jaguars,16.0,400.0,5147.0,1030.0,5.0,13.0,6.0,305.0,345.0,551.0,3444.0,20.0,7.0,5.9,174.0,446.0,1703.0,17.0,3.8,93.0,101.0,948.0,38.0,39.3,5.8,40.52
Carolina Panthers,26.0,Carolina Panthers,16.0,402.0,5756.0,1035.0,5.6,27.0,10.0,329.0,409.0,612.0,4291.0,27.0,17.0,6.5,223.0,376.0,1465.0,11.0,3.9,90.0,112.0,907.0,16.0,36.2,13.8,57.81
Atlanta Falcons,27.0,Atlanta Falcons,16.0,406.0,5939.0,1059.0,5.6,22.0,10.0,358.0,422.0,655.0,4267.0,31.0,12.0,6.2,232.0,370.0,1672.0,15.0,4.5,95.0,113.0,974.0,31.0,39.2,11.4,-34.14
New York Jets,28.0,New York Jets,16.0,409.0,5479.0,1000.0,5.5,14.0,6.0,318.0,347.0,545.0,3898.0,30.0,8.0,6.8,203.0,428.0,1581.0,11.0,3.7,86.0,74.0,651.0,29.0,37.7,7.1,-55.99
San Diego Chargers,29.0,San Diego Chargers,16.0,423.0,5554.0,1025.0,5.4,28.0,10.0,329.0,364.0,580.0,3987.0,21.0,18.0,6.5,204.0,410.0,1567.0,20.0,3.8,98.0,119.0,837.0,27.0,39.8,14.5,71.88
Cleveland Browns,30.0,Cleveland Browns,16.0,452.0,6279.0,1067.0,5.9,13.0,3.0,364.0,347.0,543.0,3996.0,36.0,10.0,7.0,220.0,498.0,2283.0,18.0,4.6,121.0,104.0,930.0,23.0,40.8,6.1,-128.14
New Orleans Saints,31.0,New Orleans Saints,16.0,454.0,6006.0,1008.0,6.0,21.0,12.0,353.0,378.0,582.0,4380.0,27.0,9.0,7.2,230.0,396.0,1626.0,19.0,4.1,91.0,104.0,881.0,32.0,45.3,12.2,-61.65
San Francisco 49ers,32.0,San Francisco 49ers,16.0,480.0,6502.0,1102.0,5.9,20.0,10.0,358.0,322.0,521.0,3848.0,30.0,10.0,6.9,187.0,548.0,2654.0,25.0,4.8,140.0,93.0,795.0,31.0,41.4,9.4,-52.22
