Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Indianapolis Colts,1.0,Indianapolis Colts,16.0,262.0,4475.0,980.0,4.6,37.0,15.0,288.0,325.0,498.0,2764.0,16.0,22.0,5.3,162.0,454.0,1711.0,10.0,3.8,111.0,85.0,722.0,15.0,25.3,21.6,120.41
Pittsburgh Steelers,2.0,Pittsburgh Steelers,16.0,269.0,4262.0,933.0,4.6,25.0,14.0,249.0,292.0,536.0,2824.0,22.0,11.0,4.9,158.0,361.0,1438.0,6.0,4.0,74.0,73.0,556.0,17.0,26.3,13.1,176.82
Tampa Bay Buccaneers,3.0,Tampa Bay Buccaneers,16.0,270.0,4451.0,977.0,4.6,35.0,19.0,258.0,297.0,490.0,2725.0,18.0,16.0,5.2,158.0,454.0,1726.0,11.0,3.8,93.0,86.0,706.0,7.0,24.2,18.7,157.35
New England Patriots,4.0,New England Patriots,16.0,274.0,4613.0,933.0,4.9,31.0,12.0,278.0,314.0,526.0,3041.0,23.0,19.0,5.3,172.0,360.0,1572.0,7.0,4.4,91.0,96.0,764.0,15.0,24.0,16.6,125.67
San Diego Chargers,5.0,San Diego Chargers,16.0,284.0,5124.0,1013.0,5.1,48.0,18.0,297.0,338.0,555.0,3412.0,20.0,30.0,5.7,185.0,416.0,1712.0,11.0,4.1,89.0,86.0,665.0,23.0,23.8,22.7,172.48
Seattle Seahawks,6.0,Seattle Seahawks,16.0,291.0,5149.0,1035.0,5.0,34.0,14.0,278.0,333.0,568.0,3505.0,15.0,20.0,5.7,183.0,422.0,1644.0,16.0,3.9,78.0,99.0,756.0,17.0,25.5,15.9,186.62
Green Bay Packers,7.0,Green Bay Packers,16.0,291.0,5013.0,994.0,5.0,28.0,9.0,297.0,295.0,534.0,3366.0,23.0,19.0,5.9,176.0,424.0,1647.0,6.0,3.9,77.0,118.0,908.0,44.0,29.1,13.2,142.62
Tennessee Titans,8.0,Tennessee Titans,16.0,297.0,4665.0,978.0,4.8,34.0,12.0,268.0,349.0,569.0,3187.0,21.0,22.0,5.2,165.0,369.0,1478.0,11.0,4.0,80.0,90.0,745.0,23.0,27.3,15.8,127.77
Philadelphia Eagles,9.0,Philadelphia Eagles,16.0,300.0,4982.0,979.0,5.1,19.0,8.0,279.0,312.0,539.0,3449.0,16.0,11.0,6.0,177.0,403.0,1533.0,10.0,3.8,80.0,81.0,616.0,22.0,30.5,10.2,118.47
Jacksonville Jaguars,10.0,Jacksonville Jaguars,16.0,304.0,5021.0,970.0,5.2,30.0,10.0,286.0,319.0,543.0,3416.0,20.0,20.0,5.9,181.0,390.0,1605.0,12.0,4.1,92.0,82.0,636.0,13.0,29.2,17.0,125.81
Washington Redskins,11.0,Washington Redskins,16.0,310.0,4884.0,1026.0,4.8,24.0,10.0,291.0,351.0,602.0,3424.0,20.0,14.0,5.4,174.0,391.0,1460.0,10.0,3.7,89.0,88.0,684.0,28.0,29.5,12.4,168.44
Minnesota Vikings,12.0,Minnesota Vikings,16.0,311.0,5410.0,1063.0,5.1,31.0,16.0,305.0,415.0,646.0,4225.0,22.0,15.0,6.2,222.0,379.0,1185.0,7.0,3.1,67.0,110.0,763.0,16.0,29.7,16.1,155.63
Dallas Cowboys,13.0,Dallas Cowboys,16.0,325.0,4922.0,1008.0,4.9,29.0,10.0,304.0,342.0,581.0,3409.0,19.0,19.0,5.4,195.0,381.0,1513.0,12.0,4.0,86.0,85.0,785.0,23.0,30.8,14.8,132.11
Kansas City Chiefs,14.0,Kansas City Chiefs,16.0,335.0,5111.0,980.0,5.2,22.0,8.0,278.0,276.0,462.0,3022.0,17.0,14.0,6.1,156.0,481.0,2089.0,11.0,4.3,104.0,95.0,695.0,18.0,32.1,10.9,159.13
Carolina Panthers,15.0,Carolina Panthers,16.0,347.0,5197.0,1032.0,5.0,30.0,16.0,302.0,337.0,537.0,3426.0,22.0,14.0,6.1,174.0,472.0,1771.0,13.0,3.8,100.0,100.0,904.0,28.0,32.3,14.6,151.47
Chicago Bears,16.0,Chicago Bears,16.0,348.0,5675.0,1036.0,5.5,33.0,17.0,305.0,343.0,541.0,3708.0,19.0,16.0,6.4,185.0,454.0,1967.0,17.0,4.3,100.0,92.0,670.0,20.0,28.5,15.0,137.9
New York Giants,17.0,New York Giants,16.0,351.0,4880.0,984.0,5.0,25.0,10.0,288.0,306.0,523.0,3317.0,24.0,15.0,5.8,185.0,408.0,1563.0,12.0,3.8,83.0,118.0,874.0,20.0,29.5,12.4,126.48
Buffalo Bills,18.0,Buffalo Bills,16.0,354.0,5807.0,1047.0,5.5,30.0,12.0,322.0,354.0,567.0,3814.0,19.0,18.0,6.4,203.0,454.0,1993.0,15.0,4.4,104.0,73.0,567.0,15.0,36.0,16.3,103.56
New York Jets,19.0,New York Jets,16.0,355.0,5310.0,1016.0,5.2,21.0,6.0,315.0,289.0,470.0,3154.0,18.0,15.0,6.3,174.0,517.0,2156.0,14.0,4.2,128.0,93.0,761.0,13.0,36.1,12.4,73.38
San Francisco 49ers,20.0,San Francisco 49ers,16.0,364.0,5539.0,1078.0,5.1,22.0,10.0,308.0,345.0,543.0,3643.0,24.0,12.0,6.3,187.0,504.0,1896.0,9.0,3.8,94.0,89.0,661.0,27.0,32.5,10.7,129.48
Cleveland Browns,21.0,Cleveland Browns,16.0,382.0,5753.0,1066.0,5.4,27.0,10.0,335.0,340.0,578.0,3681.0,29.0,17.0,6.1,211.0,460.0,2072.0,8.0,4.5,100.0,80.0,581.0,24.0,36.9,13.4,114.99
Houston Texans,22.0,Houston Texans,16.0,384.0,5507.0,994.0,5.5,25.0,14.0,325.0,361.0,546.0,3682.0,25.0,11.0,6.4,197.0,417.0,1825.0,15.0,4.4,107.0,81.0,614.0,21.0,38.9,12.0,16.97
Baltimore Ravens,23.0,Baltimore Ravens,16.0,384.0,4825.0,968.0,5.0,23.0,6.0,258.0,293.0,490.0,3557.0,27.0,17.0,6.8,162.0,446.0,1268.0,9.0,2.8,69.0,84.0,728.0,27.0,37.2,10.7,112.46
Cincinnati Bengals,24.0,Cincinnati Bengals,16.0,385.0,5580.0,1011.0,5.5,35.0,16.0,313.0,353.0,540.0,3687.0,29.0,19.0,6.6,200.0,449.0,1893.0,11.0,4.2,98.0,88.0,712.0,15.0,35.9,18.8,119.7
New Orleans Saints,25.0,New Orleans Saints,16.0,388.0,5570.0,964.0,5.8,23.0,10.0,288.0,327.0,524.0,3924.0,32.0,13.0,7.1,196.0,408.0,1646.0,7.0,4.0,80.0,89.0,685.0,12.0,36.3,12.1,126.75
Oakland Raiders,26.0,Oakland Raiders,16.0,398.0,5466.0,952.0,5.7,26.0,8.0,292.0,261.0,439.0,3132.0,17.0,18.0,6.7,156.0,486.0,2334.0,24.0,4.8,121.0,99.0,734.0,15.0,34.6,12.6,31.69
Arizona Cardinals,27.0,Arizona Cardinals,16.0,399.0,5283.0,1013.0,5.2,29.0,11.0,298.0,361.0,570.0,3716.0,26.0,18.0,6.1,185.0,407.0,1567.0,13.0,3.9,90.0,118.0,881.0,23.0,34.9,14.6,135.56
Denver Broncos,28.0,Denver Broncos,16.0,409.0,5376.0,992.0,5.4,30.0,16.0,306.0,279.0,458.0,3094.0,25.0,14.0,6.3,168.0,501.0,2282.0,14.0,4.6,119.0,82.0,628.0,19.0,37.5,16.5,48.0
Atlanta Falcons,29.0,Atlanta Falcons,16.0,414.0,5688.0,1042.0,5.5,28.0,12.0,320.0,336.0,536.0,3655.0,27.0,16.0,6.5,190.0,481.0,2033.0,12.0,4.2,105.0,91.0,808.0,25.0,35.8,13.4,51.1
Miami Dolphins,30.0,Miami Dolphins,16.0,437.0,5475.0,983.0,5.6,22.0,8.0,318.0,242.0,409.0,3019.0,28.0,14.0,6.9,165.0,544.0,2456.0,18.0,4.5,129.0,73.0,604.0,24.0,42.5,11.5,50.67
St. Louis Rams,31.0,St. Louis Rams,16.0,438.0,5457.0,999.0,5.5,27.0,9.0,316.0,318.0,523.0,3613.0,25.0,18.0,6.5,190.0,445.0,1844.0,16.0,4.1,105.0,95.0,732.0,21.0,39.8,13.1,47.86
Detroit Lions,32.0,Detroit Lions,16.0,444.0,6042.0,1087.0,5.6,35.0,18.0,363.0,422.0,602.0,4131.0,32.0,17.0,6.5,221.0,448.0,1911.0,19.0,4.3,116.0,113.0,897.0,26.0,35.2,18.1,87.68
