Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Carolina Panthers,11.0,Carolina Panthers,16.0,327.0,5074.0,953.0,5.3,21.0,11.0,282.0,351.0,550.0,3665.0,25.0,10.0,6.1,187.0,353.0,1409.0,7.0,4.0,69.0,101.0,867.0,26.0,33.9,11.7,102.03
Los Angeles Rams,12.0,Los Angeles Rams,16.0,329.0,5432.0,1021.0,5.3,28.0,10.0,300.0,324.0,555.0,3475.0,21.0,18.0,5.8,181.0,418.0,1957.0,15.0,4.7,86.0,102.0,808.0,33.0,30.6,14.0,100.44
Dallas Cowboys,13.0,Dallas Cowboys,16.0,332.0,5089.0,1000.0,5.1,21.0,11.0,312.0,371.0,559.0,3425.0,28.0,10.0,5.7,181.0,403.0,1664.0,7.0,4.1,96.0,107.0,880.0,35.0,31.6,10.5,29.89
Seattle Seahawks,14.0,Seattle Seahawks,16.0,332.0,5171.0,1045.0,4.9,25.0,11.0,316.0,325.0,554.0,3347.0,19.0,14.0,5.6,181.0,452.0,1824.0,14.0,4.0,90.0,102.0,878.0,45.0,33.2,11.9,125.66
Kansas City Chiefs,15.0,Kansas City Chiefs,16.0,339.0,5842.0,1044.0,5.6,26.0,10.0,352.0,325.0,570.0,3952.0,23.0,16.0,6.6,204.0,443.0,1890.0,15.0,4.3,112.0,107.0,864.0,36.0,33.5,13.4,37.66
Cincinnati Bengals,16.0,Cincinnati Bengals,16.0,349.0,5425.0,1091.0,5.0,14.0,3.0,325.0,336.0,561.0,3379.0,20.0,11.0,5.6,173.0,489.0,2046.0,13.0,4.2,111.0,106.0,906.0,41.0,37.0,7.6,159.55
Tennessee Titans,17.0,Tennessee Titans,16.0,356.0,5248.0,1046.0,5.0,21.0,9.0,323.0,369.0,605.0,3828.0,27.0,12.0,5.9,231.0,398.0,1420.0,5.0,3.6,68.0,119.0,942.0,24.0,37.3,10.8,77.51
Buffalo Bills,18.0,Buffalo Bills,16.0,359.0,5682.0,1066.0,5.3,25.0,7.0,348.0,370.0,573.0,3688.0,14.0,18.0,6.1,199.0,466.0,1994.0,22.0,4.3,121.0,97.0,873.0,28.0,37.2,13.1,86.45
Arizona Cardinals,19.0,Arizona Cardinals,16.0,361.0,4973.0,1008.0,4.9,21.0,6.0,283.0,343.0,564.0,3541.0,24.0,15.0,5.9,187.0,407.0,1432.0,12.0,3.5,68.0,129.0,1128.0,28.0,31.5,10.5,143.08
Oakland Raiders,20.0,Oakland Raiders,16.0,373.0,5601.0,994.0,5.6,14.0,9.0,304.0,361.0,530.0,3858.0,24.0,5.0,6.9,187.0,433.0,1743.0,11.0,4.0,93.0,102.0,944.0,24.0,40.9,7.0,11.52
Detroit Lions,21.0,Detroit Lions,16.0,376.0,5692.0,1037.0,5.5,32.0,13.0,349.0,366.0,570.0,3892.0,21.0,19.0,6.4,205.0,432.0,1800.0,18.0,4.2,109.0,110.0,971.0,35.0,32.3,16.1,122.96
New York Jets,22.0,New York Jets,16.0,382.0,5636.0,1052.0,5.4,20.0,9.0,329.0,329.0,558.0,3749.0,30.0,11.0,6.4,191.0,466.0,1887.0,13.0,4.0,88.0,114.0,981.0,50.0,33.3,10.4,41.98
Denver Broncos,23.0,Denver Broncos,16.0,382.0,4640.0,952.0,4.9,17.0,7.0,266.0,294.0,491.0,3210.0,29.0,10.0,6.1,166.0,428.0,1430.0,9.0,3.3,68.0,89.0,821.0,32.0,32.5,8.8,131.2
Tampa Bay Buccaneers,24.0,Tampa Bay Buccaneers,16.0,382.0,6049.0,1011.0,6.0,26.0,13.0,327.0,371.0,549.0,4169.0,22.0,13.0,7.3,202.0,440.0,1880.0,17.0,4.3,102.0,109.0,937.0,23.0,38.9,13.1,50.69
San Francisco 49ers,25.0,San Francisco 49ers,16.0,383.0,5625.0,1065.0,5.3,20.0,10.0,343.0,344.0,544.0,3764.0,27.0,10.0,6.6,198.0,491.0,1861.0,13.0,3.8,108.0,97.0,791.0,37.0,37.8,10.1,25.99
Green Bay Packers,26.0,Green Bay Packers,16.0,384.0,5582.0,1014.0,5.5,22.0,11.0,331.0,348.0,513.0,3789.0,30.0,11.0,6.9,211.0,464.0,1793.0,10.0,3.9,95.0,94.0,832.0,25.0,40.2,11.5,16.38
New York Giants,27.0,New York Giants,16.0,388.0,5971.0,1052.0,5.7,19.0,6.0,313.0,347.0,561.0,4038.0,32.0,13.0,6.9,189.0,464.0,1933.0,10.0,4.2,101.0,115.0,923.0,23.0,35.5,9.6,95.0
Washington Redskins,28.0,Washington Redskins,16.0,388.0,5566.0,1045.0,5.3,23.0,7.0,307.0,306.0,531.0,3420.0,23.0,16.0,6.0,171.0,472.0,2146.0,13.0,4.5,105.0,100.0,887.0,31.0,35.9,11.8,120.68
Miami Dolphins,29.0,Miami Dolphins,16.0,393.0,5371.0,989.0,5.4,15.0,6.0,319.0,339.0,528.0,3603.0,26.0,9.0,6.5,190.0,431.0,1768.0,14.0,4.1,88.0,122.0,1077.0,41.0,36.6,8.1,61.09
Indianapolis Colts,30.0,Indianapolis Colts,16.0,404.0,5873.0,1026.0,5.7,20.0,7.0,324.0,320.0,513.0,3946.0,23.0,13.0,7.3,192.0,488.0,1927.0,15.0,3.9,99.0,102.0,822.0,33.0,39.7,10.3,5.01
Cleveland Browns,31.0,Cleveland Browns,16.0,410.0,5250.0,1026.0,5.1,13.0,6.0,315.0,360.0,525.0,3684.0,28.0,7.0,6.6,189.0,467.0,1566.0,14.0,3.4,95.0,101.0,906.0,31.0,36.2,6.9,13.99
Houston Texans,32.0,Houston Texans,16.0,436.0,5546.0,973.0,5.7,16.0,5.0,301.0,321.0,501.0,3799.0,30.0,11.0,7.1,176.0,440.0,1747.0,14.0,4.0,88.0,122.0,1128.0,37.0,39.7,7.7,47.22
