Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Minnesota Vikings,1.0,Minnesota Vikings,16.0,252.0,4415.0,956.0,4.6,19.0,5.0,260.0,324.0,555.0,3078.0,13.0,14.0,5.2,168.0,364.0,1337.0,10.0,3.7,59.0,105.0,928.0,33.0,27.9,10.1,145.07
Jacksonville Jaguars,2.0,Jacksonville Jaguars,16.0,268.0,4578.0,993.0,4.6,33.0,12.0,257.0,289.0,509.0,2718.0,17.0,21.0,4.8,143.0,429.0,1860.0,9.0,4.3,91.0,112.0,1050.0,23.0,23.9,15.6,252.15
Los Angeles Chargers,3.0,Los Angeles Chargers,16.0,272.0,5254.0,997.0,5.3,27.0,9.0,282.0,329.0,524.0,3156.0,17.0,18.0,5.6,153.0,430.0,2098.0,11.0,4.9,99.0,109.0,996.0,30.0,28.5,15.1,120.25
Philadelphia Eagles,4.0,Philadelphia Eagles,16.0,295.0,4904.0,976.0,5.0,31.0,12.0,272.0,363.0,601.0,3637.0,24.0,19.0,5.7,177.0,337.0,1267.0,7.0,3.8,62.0,101.0,917.0,33.0,27.1,15.4,162.09
New England Patriots,5.0,New England Patriots,16.0,296.0,5856.0,1022.0,5.7,18.0,6.0,325.0,367.0,590.0,4020.0,24.0,12.0,6.4,204.0,390.0,1836.0,6.0,4.7,98.0,111.0,1035.0,23.0,30.2,9.9,12.09
Baltimore Ravens,6.0,Baltimore Ravens,16.0,303.0,5201.0,1045.0,5.0,34.0,12.0,296.0,333.0,569.0,3421.0,18.0,22.0,5.6,179.0,435.0,1780.0,12.0,4.1,87.0,96.0,807.0,30.0,29.7,17.4,181.55
Pittsburgh Steelers,7.0,Pittsburgh Steelers,16.0,308.0,4910.0,940.0,5.2,22.0,6.0,270.0,297.0,499.0,3217.0,20.0,16.0,5.8,157.0,385.0,1693.0,14.0,4.4,89.0,110.0,1041.0,24.0,30.3,12.4,31.72
Atlanta Falcons,8.0,Atlanta Falcons,16.0,315.0,5094.0,994.0,5.1,16.0,8.0,323.0,362.0,553.0,3429.0,22.0,8.0,5.8,197.0,402.0,1665.0,9.0,4.1,97.0,103.0,880.0,29.0,36.0,9.1,127.47
Chicago Bears,9.0,Chicago Bears,16.0,320.0,5106.0,1003.0,5.1,22.0,14.0,298.0,343.0,529.0,3376.0,18.0,8.0,5.9,180.0,432.0,1730.0,10.0,4.0,85.0,118.0,910.0,33.0,33.1,11.2,129.87
New Orleans Saints,10.0,New Orleans Saints,16.0,326.0,5384.0,1002.0,5.4,25.0,5.0,308.0,329.0,554.0,3597.0,22.0,20.0,6.0,172.0,406.0,1787.0,11.0,4.4,92.0,108.0,850.0,44.0,33.3,13.6,64.3
