Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
New England Patriots,1.0,New England Patriots,16.0,238.0,4666.0,1060.0,4.4,41.0,12.0,293.0,328.0,618.0,3232.0,11.0,29.0,4.9,177.0,401.0,1434.0,10.0,3.6,91.0,107.0,845.0,25.0,23.0,19.5,280.69
Dallas Cowboys,2.0,Dallas Cowboys,16.0,260.0,4056.0,937.0,4.3,25.0,12.0,228.0,239.0,492.0,2631.0,18.0,13.0,5.0,127.0,413.0,1425.0,7.0,3.5,68.0,88.0,763.0,33.0,23.4,11.2,187.28
Miami Dolphins,3.0,Miami Dolphins,16.0,261.0,4787.0,1014.0,4.7,36.0,14.0,283.0,319.0,529.0,3335.0,12.0,22.0,5.8,171.0,441.0,1452.0,11.0,3.3,82.0,98.0,766.0,30.0,25.3,17.0,205.62
Tampa Bay Buccaneers,4.0,Tampa Bay Buccaneers,16.0,264.0,4466.0,962.0,4.6,33.0,13.0,249.0,274.0,475.0,2710.0,16.0,20.0,5.3,140.0,451.0,1756.0,6.0,3.9,89.0,104.0,817.0,20.0,25.4,16.4,226.87
Buffalo Bills,5.0,Buffalo Bills,16.0,279.0,4313.0,1010.0,4.3,18.0,8.0,270.0,285.0,508.0,2707.0,18.0,10.0,5.0,153.0,464.0,1606.0,11.0,3.5,92.0,110.0,996.0,25.0,26.9,9.3,207.84
Baltimore Ravens,6.0,Baltimore Ravens,16.0,281.0,4341.0,1026.0,4.2,41.0,17.0,248.0,296.0,531.0,2805.0,19.0,24.0,4.9,144.0,448.0,1536.0,6.0,3.4,78.0,106.0,935.0,26.0,24.3,16.5,289.41
Philadelphia Eagles,7.0,Philadelphia Eagles,16.0,287.0,5307.0,1058.0,5.0,26.0,13.0,306.0,337.0,559.0,3236.0,17.0,13.0,5.4,171.0,461.0,2071.0,13.0,4.5,116.0,129.0,1105.0,19.0,27.8,13.4,168.96
New York Jets,8.0,New York Jets,16.0,299.0,5319.0,1032.0,5.2,20.0,9.0,316.0,281.0,455.0,3025.0,14.0,11.0,6.2,168.0,542.0,2294.0,17.0,4.2,134.0,79.0,620.0,14.0,30.4,11.9,87.5
Denver Broncos,9.0,Denver Broncos,16.0,301.0,4433.0,910.0,4.9,20.0,11.0,241.0,265.0,495.0,2828.0,17.0,9.0,5.3,141.0,379.0,1605.0,11.0,4.2,77.0,137.0,1031.0,23.0,28.6,10.3,163.86
Carolina Panthers,10.0,Carolina Panthers,16.0,304.0,4725.0,996.0,4.7,26.0,10.0,274.0,299.0,522.0,3003.0,19.0,16.0,5.3,161.0,434.0,1722.0,10.0,4.0,83.0,111.0,1011.0,30.0,26.3,12.6,226.48
Green Bay Packers,11.0,Green Bay Packers,16.0,307.0,5101.0,1036.0,4.9,32.0,11.0,288.0,326.0,589.0,3400.0,18.0,21.0,5.5,172.0,413.0,1701.0,10.0,4.1,91.0,97.0,767.0,25.0,29.6,15.3,217.43
Cleveland Browns,12.0,Cleveland Browns,16.0,322.0,4959.0,994.0,5.0,22.0,7.0,283.0,297.0,502.0,2846.0,13.0,15.0,5.3,160.0,457.0,2113.0,14.0,4.6,100.0,141.0,1095.0,23.0,34.8,11.2,139.5
Tennessee Titans,13.0,Tennessee Titans,16.0,324.0,4901.0,926.0,5.3,34.0,13.0,275.0,332.0,546.0,3606.0,20.0,21.0,6.2,167.0,342.0,1295.0,10.0,3.8,79.0,96.0,793.0,29.0,29.8,16.0,202.69
New Orleans Saints,14.0,New Orleans Saints,16.0,326.0,5234.0,997.0,5.2,27.0,13.0,298.0,264.0,485.0,2993.0,20.0,14.0,5.8,165.0,480.0,2241.0,12.0,4.7,109.0,101.0,1012.0,24.0,31.0,13.0,114.7
Seattle Seahawks,15.0,Seattle Seahawks,16.0,327.0,5239.0,1069.0,4.9,28.0,12.0,304.0,343.0,573.0,3480.0,24.0,16.0,5.7,183.0,456.0,1759.0,9.0,3.9,93.0,105.0,825.0,28.0,30.9,14.4,134.72
