Tm,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Cleveland Browns,11.0,Cleveland Browns,16.0,301.0,5069.0,1021.0,5.0,23.0,8.0,292.0,279.0,471.0,2867.0,19.0,15.0,5.8,161.0,527.0,2202.0,11.0,4.2,116.0,97.0,716.0,15.0,32.4,11.7,136.66
Dallas Cowboys,12.0,Dallas Cowboys,16.0,308.0,4814.0,946.0,5.1,26.0,11.0,256.0,271.0,495.0,3083.0,18.0,15.0,5.8,150.0,414.0,1731.0,13.0,4.2,87.0,142.0,1015.0,19.0,27.4,13.2,144.04
San Diego Chargers,13.0,San Diego Chargers,16.0,312.0,4948.0,999.0,5.0,20.0,10.0,306.0,338.0,567.0,3599.0,20.0,10.0,5.9,189.0,386.0,1349.0,14.0,3.5,90.0,110.0,831.0,27.0,28.7,10.1,132.44
New York Giants,14.0,New York Giants,16.0,314.0,5240.0,1049.0,5.0,37.0,20.0,302.0,329.0,580.0,3584.0,20.0,17.0,5.8,189.0,428.0,1656.0,12.0,3.9,83.0,136.0,1180.0,30.0,26.5,17.0,125.1
Miami Dolphins,15.0,Miami Dolphins,16.0,317.0,5078.0,1078.0,4.7,31.0,17.0,319.0,323.0,549.0,3307.0,23.0,14.0,5.5,183.0,480.0,1771.0,11.0,3.7,94.0,105.0,827.0,42.0,29.6,13.3,135.09
Kansas City Chiefs,16.0,Kansas City Chiefs,16.0,325.0,5249.0,971.0,5.4,31.0,15.0,292.0,325.0,559.0,3679.0,25.0,16.0,6.3,189.0,383.0,1570.0,11.0,4.1,84.0,90.0,805.0,19.0,31.6,15.8,119.3
New England Patriots,17.0,New England Patriots,16.0,338.0,5283.0,997.0,5.3,18.0,8.0,306.0,296.0,527.0,3703.0,25.0,10.0,6.6,179.0,437.0,1580.0,11.0,3.6,94.0,132.0,1068.0,33.0,33.0,9.3,111.62
Atlanta Falcons,18.0,Atlanta Falcons,16.0,341.0,5200.0,1001.0,5.2,29.0,13.0,319.0,320.0,526.0,3137.0,18.0,16.0,5.6,167.0,438.0,2063.0,18.0,4.7,122.0,114.0,981.0,30.0,32.1,14.7,117.56
Minnesota Vikings,19.0,Minnesota Vikings,16.0,344.0,5173.0,1029.0,5.0,35.0,11.0,304.0,319.0,533.0,3332.0,23.0,24.0,5.9,177.0,462.0,1841.0,14.0,4.0,96.0,137.0,990.0,31.0,34.4,15.9,160.84
Green Bay Packers,20.0,Green Bay Packers,16.0,344.0,4690.0,969.0,4.8,21.0,11.0,280.0,252.0,430.0,2680.0,22.0,10.0,5.8,143.0,504.0,2010.0,10.0,4.0,107.0,98.0,975.0,30.0,31.8,10.9,198.89
Detroit Lions,21.0,Detroit Lions,16.0,345.0,5158.0,1006.0,5.1,31.0,12.0,308.0,295.0,487.0,3118.0,19.0,19.0,6.0,166.0,488.0,2040.0,15.0,4.2,109.0,130.0,953.0,33.0,31.5,16.8,83.52
Cincinnati Bengals,22.0,Cincinnati Bengals,16.0,350.0,5419.0,976.0,5.6,44.0,13.0,321.0,324.0,519.0,3569.0,21.0,31.0,6.5,185.0,429.0,1850.0,16.0,4.3,109.0,110.0,985.0,27.0,34.6,23.5,76.7
New York Jets,23.0,New York Jets,16.0,355.0,4940.0,1047.0,4.7,28.0,7.0,321.0,284.0,463.0,2755.0,17.0,21.0,5.6,151.0,554.0,2185.0,19.0,3.9,136.0,115.0,981.0,34.0,35.9,15.2,139.83
Buffalo Bills,24.0,Buffalo Bills,16.0,367.0,5496.0,1030.0,5.3,30.0,13.0,343.0,314.0,503.0,3291.0,19.0,17.0,6.1,169.0,489.0,2205.0,22.0,4.5,146.0,124.0,904.0,28.0,33.9,16.4,63.26
Oakland Raiders,25.0,Oakland Raiders,16.0,383.0,5292.0,1029.0,5.1,19.0,14.0,299.0,296.0,486.0,3243.0,18.0,5.0,6.2,165.0,507.0,2049.0,18.0,4.0,100.0,101.0,825.0,34.0,38.6,10.3,98.62
Arizona Cardinals,26.0,Arizona Cardinals,16.0,387.0,4729.0,936.0,5.1,26.0,11.0,272.0,301.0,488.0,3097.0,17.0,15.0,5.9,158.0,411.0,1632.0,22.0,4.0,83.0,103.0,819.0,31.0,30.3,13.1,118.27
Philadelphia Eagles,27.0,Philadelphia Eagles,16.0,388.0,5206.0,1038.0,5.0,27.0,10.0,290.0,297.0,503.0,3323.0,24.0,17.0,6.2,171.0,506.0,1883.0,15.0,3.7,91.0,112.0,910.0,28.0,29.2,11.5,118.79
New Orleans Saints,28.0,New Orleans Saints,16.0,398.0,4994.0,946.0,5.3,19.0,9.0,281.0,241.0,418.0,2849.0,20.0,10.0,6.4,145.0,503.0,2145.0,16.0,4.3,103.0,127.0,985.0,33.0,37.4,9.5,78.7
Tennessee Titans,29.0,Tennessee Titans,16.0,421.0,5110.0,960.0,5.3,20.0,11.0,294.0,296.0,470.0,3216.0,33.0,9.0,6.3,180.0,449.0,1894.0,12.0,4.2,89.0,95.0,718.0,25.0,33.8,9.7,54.13
San Francisco 49ers,30.0,San Francisco 49ers,16.0,428.0,6259.0,1090.0,5.7,26.0,10.0,335.0,374.0,576.0,4427.0,28.0,16.0,7.3,205.0,486.0,1832.0,19.0,3.8,115.0,120.0,961.0,15.0,37.8,10.9,36.02
St. Louis Rams,31.0,St. Louis Rams,16.0,429.0,5602.0,1007.0,5.6,27.0,14.0,321.0,314.0,507.0,3424.0,26.0,13.0,6.2,178.0,459.0,2178.0,22.0,4.7,116.0,117.0,1066.0,27.0,38.3,12.4,64.69
Houston Texans,32.0,Houston Texans,16.0,431.0,5824.0,1012.0,5.8,16.0,9.0,348.0,304.0,469.0,3521.0,24.0,7.0,7.0,188.0,506.0,2303.0,21.0,4.6,123.0,105.0,846.0,37.0,42.0,7.5,-59.26
